user_id,age,nationality,Occupation,favorite_type,rating,place_id,place_name,place_type,city,Climate,Operating_Hours
5,69,Brazil,Doctor,Beach,3,4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
5,69,Brazil,Doctor,Beach,3,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
6,38,Spain,Nurse,Desert,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
6,38,Spain,Nurse,Desert,3,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
6,38,Spain,Nurse,Desert,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
6,38,Spain,Nurse,Desert,3,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
6,38,Spain,Nurse,Desert,3,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
6,38,Spain,Nurse,Desert,2,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
6,38,Spain,Nurse,Desert,2,4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
6,38,Spain,Nurse,Desert,3,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
6,38,Spain,Nurse,Desert,3,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
6,38,Spain,Nurse,Desert,3,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
7,63,Brazil,Writer,Historic,3,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
7,63,Brazil,Writer,Historic,2,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
7,63,Brazil,Writer,Historic,5,8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
7,63,Brazil,Writer,Historic,4,20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
7,63,Brazil,Writer,Historic,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
7,63,Brazil,Writer,Historic,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
7,63,Brazil,Writer,Historic,3,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
7,63,Brazil,Writer,Historic,5,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
7,63,Brazil,Writer,Historic,4,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
7,63,Brazil,Writer,Historic,3,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
8,44,Australia,Artist,Beach,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
8,44,Australia,Artist,Beach,3,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
8,44,Australia,Artist,Beach,3,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
8,44,Australia,Artist,Beach,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
8,44,Australia,Artist,Beach,3,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
8,44,Australia,Artist,Beach,3,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
8,44,Australia,Artist,Beach,3,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
8,44,Australia,Artist,Beach,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
8,44,Australia,Artist,Beach,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
8,44,Australia,Artist,Beach,3,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
9,49,USA,Lawyer,Market,3,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
9,49,USA,Lawyer,Market,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
9,49,USA,Lawyer,Market,3,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
9,49,USA,Lawyer,Market,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
9,49,USA,Lawyer,Market,3,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
9,49,USA,Lawyer,Market,5,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
9,49,USA,Lawyer,Market,3,20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
9,49,USA,Lawyer,Market,3,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
9,49,USA,Lawyer,Market,3,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
9,49,USA,Lawyer,Market,3,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
10,22,Russia,Teacher,Monument,3,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
10,22,Russia,Teacher,Monument,5,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
10,22,Russia,Teacher,Monument,3,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
10,22,Russia,Teacher,Monument,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
10,22,Russia,Teacher,Monument,3,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
10,22,Russia,Teacher,Monument,4,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
10,22,Russia,Teacher,Monument,3,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
10,22,Russia,Teacher,Monument,3,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
10,22,Russia,Teacher,Monument,3,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
10,22,Russia,Teacher,Monument,3,20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
11,20,Japan,Lawyer,Nature,3,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
11,20,Japan,Lawyer,Nature,3,20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
11,20,Japan,Lawyer,Nature,3,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
11,20,Japan,Lawyer,Nature,3,4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
11,20,Japan,Lawyer,Nature,4,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
11,20,Japan,Lawyer,Nature,3,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
11,20,Japan,Lawyer,Nature,3,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
11,20,Japan,Lawyer,Nature,3,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
11,20,Japan,Lawyer,Nature,5,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
11,20,Japan,Lawyer,Nature,2,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
12,60,USA,Accountant,Nature,3,4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
12,60,USA,Accountant,Nature,3,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
12,60,USA,Accountant,Nature,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
12,60,USA,Accountant,Nature,3,8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
12,60,USA,Accountant,Nature,3,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
12,60,USA,Accountant,Nature,5,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
12,60,USA,Accountant,Nature,3,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
12,60,USA,Accountant,Nature,5,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
12,60,USA,Accountant,Nature,3,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
12,60,USA,Accountant,Nature,3,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
13,24,Germany,Doctor,Market,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
13,24,Germany,Doctor,Market,4,20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
13,24,Germany,Doctor,Market,4,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
13,24,Germany,Doctor,Market,3,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
13,24,Germany,Doctor,Market,3,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
13,24,Germany,Doctor,Market,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
13,24,Germany,Doctor,Market,4,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
13,24,Germany,Doctor,Market,3,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
13,24,Germany,Doctor,Market,3,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
13,24,Germany,Doctor,Market,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
14,34,France,Pilot,Religious,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
14,34,France,Pilot,Religious,3,8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
14,34,France,Pilot,Religious,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
14,34,France,Pilot,Religious,4,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
14,34,France,Pilot,Religious,2,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
14,34,France,Pilot,Religious,3,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
14,34,France,Pilot,Religious,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
14,34,France,Pilot,Religious,3,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
14,34,France,Pilot,Religious,3,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
14,34,France,Pilot,Religious,5,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
15,24,Brazil,Writer,Nature,2,8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
15,24,Brazil,Writer,Nature,2,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
15,24,Brazil,Writer,Nature,3,20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
15,24,Brazil,Writer,Nature,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
15,24,Brazil,Writer,Nature,5,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
15,24,Brazil,Writer,Nature,3,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
15,24,Brazil,Writer,Nature,3,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
15,24,Brazil,Writer,Nature,3,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
15,24,Brazil,Writer,Nature,5,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
15,24,Brazil,Writer,Nature,5,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
16,60,France,Artist,Museum,3,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
16,60,France,Artist,Museum,3,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
16,60,France,Artist,Museum,3,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
16,60,France,Artist,Museum,3,4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
16,60,France,Artist,Museum,3,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
16,60,France,Artist,Museum,4,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
16,60,France,Artist,Museum,4,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
16,60,France,Artist,Museum,5,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
16,60,France,Artist,Museum,5,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
16,60,France,Artist,Museum,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
17,21,Russia,Chef,Religious,3,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
17,21,Russia,Chef,Religious,3,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
17,21,Russia,Chef,Religious,3,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
17,21,Russia,Chef,Religious,3,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
17,21,Russia,Chef,Religious,4,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
17,21,Russia,Chef,Religious,4,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
17,21,Russia,Chef,Religious,2,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
17,21,Russia,Chef,Religious,3,8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
17,21,Russia,Chef,Religious,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
17,21,Russia,Chef,Religious,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
18,26,Italy,Lawyer,Beach,5,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
18,26,Italy,Lawyer,Beach,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
18,26,Italy,Lawyer,Beach,3,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
18,26,Italy,Lawyer,Beach,3,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
18,26,Italy,Lawyer,Beach,3,8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
18,26,Italy,Lawyer,Beach,3,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
18,26,Italy,Lawyer,Beach,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
18,26,Italy,Lawyer,Beach,3,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
18,26,Italy,Lawyer,Beach,3,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
18,26,Italy,Lawyer,Beach,3,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
19,53,Australia,Writer,Beach,3,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
19,53,Australia,Writer,Beach,3,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
19,53,Australia,Writer,Beach,3,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
19,53,Australia,Writer,Beach,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
19,53,Australia,Writer,Beach,3,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
19,53,Australia,Writer,Beach,3,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
19,53,Australia,Writer,Beach,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
19,53,Australia,Writer,Beach,3,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
19,53,Australia,Writer,Beach,3,4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
19,53,Australia,Writer,Beach,5,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
20,42,France,Chef,Museum,3,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
20,42,France,Chef,Museum,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
20,42,France,Chef,Museum,5,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
20,42,France,Chef,Museum,3,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
20,42,France,Chef,Museum,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
20,42,France,Chef,Museum,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
20,42,France,Chef,Museum,3,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
20,42,France,Chef,Museum,3,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
20,42,France,Chef,Museum,3,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
20,42,France,Chef,Museum,5,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
21,67,Australia,Designer,Nature,3,8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
21,67,Australia,Designer,Nature,4,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
21,67,Australia,Designer,Nature,3,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
21,67,Australia,Designer,Nature,3,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
21,67,Australia,Designer,Nature,3,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
21,67,Australia,Designer,Nature,3,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
21,67,Australia,Designer,Nature,3,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
21,67,Australia,Designer,Nature,3,20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
21,67,Australia,Designer,Nature,5,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
21,67,Australia,Designer,Nature,2,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
22,30,Brazil,Engineer,Desert,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
22,30,Brazil,Engineer,Desert,3,8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
22,30,Brazil,Engineer,Desert,3,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
22,30,Brazil,Engineer,Desert,5,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
22,30,Brazil,Engineer,Desert,3,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
22,30,Brazil,Engineer,Desert,3,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
22,30,Brazil,Engineer,Desert,3,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
22,30,Brazil,Engineer,Desert,3,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
22,30,Brazil,Engineer,Desert,3,4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
22,30,Brazil,Engineer,Desert,3,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
23,31,Australia,Musician,Historic,5,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
23,31,Australia,Musician,Historic,3,4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
23,31,Australia,Musician,Historic,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
23,31,Australia,Musician,Historic,3,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
23,31,Australia,Musician,Historic,3,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
23,31,Australia,Musician,Historic,3,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
23,31,Australia,Musician,Historic,3,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
23,31,Australia,Musician,Historic,2,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
23,31,Australia,Musician,Historic,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
23,31,Australia,Musician,Historic,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
24,37,Brazil,Student,Historic,3,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
24,37,Brazil,Student,Historic,5,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
24,37,Brazil,Student,Historic,3,4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
24,37,Brazil,Student,Historic,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
24,37,Brazil,Student,Historic,4,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
24,37,Brazil,Student,Historic,3,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
24,37,Brazil,Student,Historic,3,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
24,37,Brazil,Student,Historic,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
24,37,Brazil,Student,Historic,3,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
24,37,Brazil,Student,Historic,4,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
25,37,Russia,Designer,Museum,3,20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
25,37,Russia,Designer,Museum,3,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
25,37,Russia,Designer,Museum,4,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
25,37,Russia,Designer,Museum,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
25,37,Russia,Designer,Museum,4,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
25,37,Russia,Designer,Museum,2,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
25,37,Russia,Designer,Museum,4,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
25,37,Russia,Designer,Museum,3,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
25,37,Russia,Designer,Museum,4,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
25,37,Russia,Designer,Museum,3,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
26,19,Japan,Lawyer,Museum,5,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
26,19,Japan,Lawyer,Museum,3,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
26,19,Japan,Lawyer,Museum,3,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
26,19,Japan,Lawyer,Museum,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
26,19,Japan,Lawyer,Museum,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
26,19,Japan,Lawyer,Museum,5,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
26,19,Japan,Lawyer,Museum,2,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
26,19,Japan,Lawyer,Museum,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
26,19,Japan,Lawyer,Museum,3,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
26,19,Japan,Lawyer,Museum,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
27,40,UK,Engineer,Desert,3,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
27,40,UK,Engineer,Desert,3,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
27,40,UK,Engineer,Desert,3,20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
27,40,UK,Engineer,Desert,3,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
27,40,UK,Engineer,Desert,2,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
27,40,UK,Engineer,Desert,3,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
27,40,UK,Engineer,Desert,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
27,40,UK,Engineer,Desert,3,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
27,40,UK,Engineer,Desert,3,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
27,40,UK,Engineer,Desert,3,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
